"user_id";"username";"time_all";"time_static";"time_animation";"right_all";"right_static";"right_animation";"error_all";"error_static";"error_animation"
4;"sva";21918;15602;6316;15;7;8;17;9;8
11;"user_1";118171;55860;62311;25;12;13;7;4;3
21;"user_10";211536;130718;80818;22;11;11;10;5;5
116;"user_105";440597;310227;130370;28;14;14;4;2;2
117;"user_106";299147;156815;142332;26;13;13;6;3;3
120;"user_109";872945;441909;431036;30;15;15;2;1;1
22;"user_11";495015;272642;222373;30;15;15;2;1;1
121;"user_110";344190;194850;149340;27;13;14;5;3;2
130;"user_119";222626;126197;96429;19;11;8;13;5;8
23;"user_12";385816;202894;182922;23;12;11;9;4;5
131;"user_120";551257;256342;294915;25;12;13;7;4;3
133;"user_122";82308;22350;59958;21;10;11;11;6;5
134;"user_123";283399;145224;138175;27;13;14;5;3;2
135;"user_124";388375;178558;209817;28;15;13;4;1;3
138;"user_127";190548;81908;108640;23;11;12;9;5;4
140;"user_129";441758;262055;179703;29;15;14;3;1;2
24;"user_13";109110;48249;60861;25;12;13;7;4;3
142;"user_131";229226;112865;116361;22;12;10;10;4;6
143;"user_132";284448;163931;120517;23;12;11;9;4;5
145;"user_134";446942;259085;187857;26;13;13;6;3;3
148;"user_137";185974;42373;143601;17;8;9;15;8;7
25;"user_14";478557;240423;238134;25;13;12;7;3;4
152;"user_141";195719;108858;86861;20;9;11;12;7;5
153;"user_142";830898;554846;276052;28;13;15;4;3;1
26;"user_15";430042;191039;239003;24;11;13;8;5;3
29;"user_18";148036;61590;86446;19;10;9;13;6;7
30;"user_19";228453;113050;115403;29;15;14;3;1;2
206;"user_195";18569;7145;11424;17;8;9;15;8;7
207;"user_196";975364;290429;684935;29;15;14;3;1;2
13;"user_2";125680;70612;55068;25;13;12;7;3;4
211;"user_200";183373;123174;60199;19;11;8;13;5;8
33;"user_22";555165;306284;248881;29;14;15;3;2;1
34;"user_23";571931;383047;188884;24;13;11;8;3;5
35;"user_24";480729;257165;223564;24;12;12;8;4;4
14;"user_3";241197;112067;129130;24;12;12;8;4;4
42;"user_31";450909;248407;202502;29;14;15;3;2;1
43;"user_32";168411;100254;68157;17;10;7;15;6;9
44;"user_33";177589;109638;67951;24;12;12;8;4;4
45;"user_34";351132;153255;197877;28;14;14;4;2;2
46;"user_35";218745;148464;70281;25;15;10;7;1;6
47;"user_36";298501;126066;172435;24;12;12;8;4;4
48;"user_37";641624;301848;339776;26;13;13;6;3;3
49;"user_38";433065;201783;231282;25;12;13;7;4;3
15;"user_4";214592;110365;104227;28;12;16;4;4;0
54;"user_43";118656;61618;57038;23;12;11;9;4;5
56;"user_45";88460;66595;21865;14;7;7;18;9;9
59;"user_48";436097;138355;297742;23;14;9;9;2;7
16;"user_5";1126539;418215;708324;30;15;15;2;1;1
64;"user_53";82364;70318;12046;18;12;6;14;4;10
69;"user_58";472689;225637;247052;26;16;10;6;0;6
17;"user_6";205146;113169;91977;21;11;10;11;5;6
18;"user_7";908334;826193;82141;28;14;14;4;2;2
84;"user_73";241063;111565;129498;27;15;12;5;1;4
85;"user_74";332123;145947;186176;23;13;10;9;3;6
86;"user_75";244074;130351;113723;25;12;13;7;4;3
87;"user_76";245862;145923;99939;15;10;5;17;6;11
88;"user_77";409804;250084;159720;24;11;13;8;5;3
89;"user_78";241603;108037;133566;21;9;12;11;7;4
90;"user_79";522288;246709;275579;25;12;13;7;4;3
19;"user_8";18953;6883;12070;17;9;8;15;7;8
91;"user_80";143818;78878;64940;18;9;9;14;7;7
92;"user_81";430893;237085;193808;18;11;7;14;5;9
93;"user_82";132957;73061;59896;18;12;6;14;4;10
94;"user_83";566965;271477;295488;29;15;14;3;1;2
96;"user_85";352439;170212;182227;28;15;13;4;1;3
97;"user_86";368108;156379;211729;25;13;12;7;3;4
100;"user_89";95462;80346;15116;17;10;7;15;6;9
